Player ID,PlayerName,ELONOWR,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,FINAL MODIFIER
7.0,Stunar,157.66,157.66,0.526,0.854,0.002,0.0,0.695,13.0,38.0,3.0,2.0,0.0,29.0,59.0,30.0,1.0,6.0,0.0,1.0,2.0,3.333,103.0,1,3.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0
19.0,Jlin2,146.39,146.39,0.488,0.796,0.004,0.0,0.64,16.0,23.0,7.0,8.0,0.0,37.0,52.333,39.0,2.0,5.0,1.0,0.667,2.0,3.274,111.333,3,7.0,8.0,0.0,15.0,15.0,0.0,0.0,0.0
28.0,FORTNAYT,143.83,143.83,0.479,0.773,0.003,0.0,0.639,19.5,27.5,8.0,4.0,0.0,43.5,53.5,44.5,1.0,11.0,0.5,0.5,2.0,3.372,125.5,2,8.0,4.0,0.0,12.0,12.0,0.0,0.0,0.0
4.0,watashiii,138.32,143.008,0.461,0.713,0.004,0.0,0.647,18.5,23.833,21.0,11.0,0.0,55.333,33.333,67.167,11.833,11.0,2.333,3.5,1.667,3.046,124.333,6,21.0,11.0,0.0,32.0,32.0,0.156,0.156,0.312
34.0,YuriMeguri,133.7,133.7,0.446,0.71,0.002,0.0,0.605,11.8,30.8,17.0,11.0,1.0,44.0,52.2,49.6,5.6,7.2,2.2,1.8,1.6,3.417,135.4,5,17.0,11.0,1.0,29.0,29.0,0.0,0.0,0.0
27.0,Deafness,135.11,132.967,0.45,0.719,0.003,0.5,0.608,15.5,28.333,15.0,20.0,0.0,67.833,31.167,80.333,12.5,8.667,3.667,3.833,0.833,3.443,137.667,6,15.0,20.0,0.0,35.0,35.0,-0.071,-0.071,-0.143
21.0,PoolNoodle,134.21,132.825,0.447,0.696,0.002,0.0,0.625,13.9,26.0,105.0,120.0,3.0,23.0,69.2,24.0,1.0,8.5,0.2,0.2,1.7,2.968,132.4,10,23.0,31.0,1.0,228.0,55.0,-0.033,-0.073,-0.106
14.0,ArronChu,131.08,131.08,0.437,0.661,0.004,0.75,0.628,16.5,24.25,10.0,11.0,3.0,25.75,69.5,28.25,2.5,11.25,1.25,0.5,3.25,2.264,144.5,4,10.0,11.0,3.0,24.0,24.0,0.0,0.0,0.0
20.0,kar72,128.73,128.394,0.429,0.648,0.003,0.0,0.62,11.7,20.6,63.0,69.0,7.0,34.1,41.7,40.6,6.5,6.2,1.5,1.6,1.8,3.416,116.8,10,25.0,24.0,3.0,139.0,52.0,-0.022,0.01,-0.012
52.0,Thaleko,126.43,127.456,0.421,0.665,0.002,0.0,0.578,13.3,19.6,35.0,31.0,4.0,38.7,48.8,41.9,3.2,7.2,1.0,0.7,1.4,3.57,131.6,10,28.0,23.0,4.0,70.0,55.0,0.029,0.045,0.074
